<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPUSD,20010308,00:00:00,1.4610,1.4592,1.4700,1.4684
GBPUSD,20010309,00:00:00,1.4684,1.4617,1.4747,1.4686
GBPUSD,20010312,00:00:00,1.4664,1.4617,1.4695,1.4645
GBPUSD,20010313,00:00:00,1.4645,1.4474,1.4650,1.4495
GBPUSD,20010314,00:00:00,1.4495,1.4438,1.4572,1.4445
GBPUSD,20010315,00:00:00,1.4445,1.4341,1.4494,1.4351
GBPUSD,20010316,00:00:00,1.4350,1.4251,1.4381,1.4292
GBPUSD,20010319,00:00:00,1.4309,1.4211,1.4336,1.4253
GBPUSD,20010320,00:00:00,1.4252,1.4238,1.4380,1.4378
GBPUSD,20010321,00:00:00,1.4377,1.4253,1.4388,1.4291
GBPUSD,20010322,00:00:00,1.4290,1.4177,1.4305,1.4211
GBPUSD,20010323,00:00:00,1.4210,1.4201,1.4307,1.4259
GBPUSD,20010326,00:00:00,1.4268,1.4251,1.4349,1.4344
GBPUSD,20010327,00:00:00,1.4344,1.4278,1.4382,1.4333
GBPUSD,20010328,00:00:00,1.4333,1.4274,1.4382,1.4373
GBPUSD,20010329,00:00:00,1.4374,1.4261,1.4421,1.4270
GBPUSD,20010330,00:00:00,1.4270,1.4168,1.4293,1.4170
GBPUSD,20010402,00:00:00,1.4143,1.4139,1.4233,1.4182
GBPUSD,20010403,00:00:00,1.4182,1.4182,1.4336,1.4328
GBPUSD,20010404,00:00:00,1.4328,1.4294,1.4363,1.4325
GBPUSD,20010405,00:00:00,1.4324,1.4240,1.4396,1.4273
GBPUSD,20010406,00:00:00,1.4273,1.4254,1.4408,1.4383
GBPUSD,20010409,00:00:00,1.4397,1.4377,1.4498,1.4430
GBPUSD,20010410,00:00:00,1.4430,1.4304,1.4461,1.4332
GBPUSD,20010411,00:00:00,1.4332,1.4270,1.4381,1.4361
GBPUSD,20010412,00:00:00,1.4361,1.4320,1.4411,1.4392
GBPUSD,20010413,00:00:00,1.4392,1.4392,1.4392,1.4392
GBPUSD,20010416,00:00:00,1.4359,1.4321,1.4375,1.4363
GBPUSD,20010417,00:00:00,1.4363,1.4266,1.4424,1.4319
GBPUSD,20010418,00:00:00,1.4317,1.4188,1.4331,1.4279
GBPUSD,20010419,00:00:00,1.4279,1.4254,1.4468,1.4465
GBPUSD,20010420,00:00:00,1.4464,1.4368,1.4482,1.4416
GBPUSD,20010423,00:00:00,1.4417,1.4360,1.4470,1.4377
GBPUSD,20010424,00:00:00,1.4377,1.4336,1.4432,1.4342
GBPUSD,20010425,00:00:00,1.4342,1.4312,1.4415,1.4411
GBPUSD,20010426,00:00:00,1.4411,1.4361,1.4427,1.4416
GBPUSD,20010427,00:00:00,1.4416,1.4325,1.4435,1.4331
GBPUSD,20010430,00:00:00,1.4348,1.4287,1.4369,1.4330
GBPUSD,20010501,00:00:00,1.4329,1.4263,1.4361,1.4346
GBPUSD,20010502,00:00:00,1.4345,1.4291,1.4374,1.4333
GBPUSD,20010503,00:00:00,1.4332,1.4298,1.4376,1.4353
GBPUSD,20010504,00:00:00,1.4354,1.4323,1.4444,1.4391
GBPUSD,20010507,00:00:00,1.4374,1.4349,1.4410,1.4383
GBPUSD,20010508,00:00:00,1.4383,1.4241,1.4384,1.4255
GBPUSD,20010509,00:00:00,1.4255,1.4178,1.4284,1.4229
GBPUSD,20010510,00:00:00,1.4229,1.4181,1.4280,1.4224
GBPUSD,20010511,00:00:00,1.4224,1.4132,1.4229,1.4205
GBPUSD,20010514,00:00:00,1.4192,1.4154,1.4203,1.4184
GBPUSD,20010515,00:00:00,1.4184,1.4163,1.4249,1.4236
GBPUSD,20010516,00:00:00,1.4237,1.4207,1.4315,1.4303
GBPUSD,20010517,00:00:00,1.4302,1.4268,1.4329,1.4321
GBPUSD,20010518,00:00:00,1.4320,1.4263,1.4392,1.4380
GBPUSD,20010521,00:00:00,1.4389,1.4350,1.4413,1.4395
GBPUSD,20010522,00:00:00,1.4394,1.4238,1.4402,1.4276
GBPUSD,20010523,00:00:00,1.4275,1.4170,1.4288,1.4187
GBPUSD,20010524,00:00:00,1.4188,1.4188,1.4188,1.4188
GBPUSD,20010525,00:00:00,1.4076,1.4075,1.4237,1.4213
GBPUSD,20010528,00:00:00,1.4219,1.4182,1.4229,1.4200
GBPUSD,20010529,00:00:00,1.4200,1.4149,1.4233,1.4230
GBPUSD,20010530,00:00:00,1.4230,1.4196,1.4271,1.4260
GBPUSD,20010531,00:00:00,1.4259,1.4159,1.4268,1.4182
GBPUSD,20010601,00:00:00,1.4182,1.4116,1.4211,1.4205
GBPUSD,20010604,00:00:00,1.4185,1.4109,1.4211,1.4138
GBPUSD,20010605,00:00:00,1.4139,1.4061,1.4141,1.4140
GBPUSD,20010606,00:00:00,1.4140,1.3892,1.4147,1.3908
GBPUSD,20010607,00:00:00,1.3908,1.3794,1.3931,1.3921
GBPUSD,20010608,00:00:00,1.3920,1.3771,1.3938,1.3796
GBPUSD,20010611,00:00:00,1.3820,1.3712,1.3874,1.3728
GBPUSD,20010612,00:00:00,1.3729,1.3681,1.3794,1.3723
GBPUSD,20010613,00:00:00,1.3723,1.3709,1.3921,1.3910
GBPUSD,20010614,00:00:00,1.3911,1.3871,1.4022,1.4016
GBPUSD,20010615,00:00:00,1.4018,1.3987,1.4105,1.4050
GBPUSD,20010618,00:00:00,1.4038,1.4004,1.4077,1.4033
GBPUSD,20010619,00:00:00,1.4033,1.3940,1.4038,1.4010
GBPUSD,20010620,00:00:00,1.4010,1.3905,1.4016,1.3961
GBPUSD,20010621,00:00:00,1.3961,1.3949,1.4176,1.4153
GBPUSD,20010622,00:00:00,1.4153,1.4085,1.4191,1.4118
GBPUSD,20010625,00:00:00,1.4119,1.4112,1.4174,1.4123
GBPUSD,20010626,00:00:00,1.4123,1.4099,1.4171,1.4169
GBPUSD,20010627,00:00:00,1.4169,1.4121,1.4224,1.4170
GBPUSD,20010628,00:00:00,1.4170,1.4060,1.4193,1.4078
GBPUSD,20010629,00:00:00,1.4078,1.4029,1.4149,1.4148
GBPUSD,20010702,00:00:00,1.4159,1.4098,1.4178,1.4171
GBPUSD,20010703,00:00:00,1.4171,1.4047,1.4172,1.4071
GBPUSD,20010704,00:00:00,1.4071,1.4018,1.4085,1.4066
