Date,Strategy1,Strategy2,Index
2005-06-03,0.002697244,-0.002694842,-0.003800456
2005-06-06,0.00752915,0.012512874,0.008995261
2005-06-07,0.010721444,-0.007464333,-0.004278437
2005-06-08,0.000475389,0.003448098,0.001099187
2005-06-09,0.003617751,0.00341007,0.004232213
2005-06-10,0.004288386,0.003265035,0.003975827
2005-06-13,-0.005862891,-0.001053307,-0.000712815
2005-06-14,-0.00176285,-0.010684653,-0.005409368
2005-06-15,0.010316629,0.001666071,0.005080187
2005-06-16,0.012878029,0.004641404,0.006461843
2005-06-17,0.003024594,0.000819868,-0.001102883
2005-06-20,0.003574696,0.009473735,0.001991325
2005-06-21,0.004968798,0.005459741,0.003384428
2005-06-22,0.003176653,0.002681881,0.002961191
2005-06-23,-0.00169306,-0.006146626,-0.006921633
2005-06-24,0.001959433,-0.011745233,-0.006989565
2005-06-27,0.007810359,0.00128962,0.009299098
2005-06-28,-0.00672399,0.0002932,0.003673582
2005-06-29,-0.008288325,-0.00352532,0.00080249
2005-06-30,0.014233052,0.008549904,0.009348353
2005-07-01,0.008550332,-4.08083E-05,0.004514629
2005-07-04,-0.005320552,0.002349479,0.001118762
2005-07-05,0.023514056,0.002377272,0.007610643
2005-07-06,-0.021138504,-0.01684545,-0.01363393
2005-07-07,0.016711695,0.00618287,0.014326425
2005-07-08,0.017580947,0.002440048,0.001949467
2005-07-11,-0.007820633,-0.008494051,-0.004806959
2005-07-12,-0.007191456,0.007827218,0.005501035
2005-07-13,-0.00309766,0.000592139,0.002630626
2005-07-14,0.002119831,-0.008280609,-0.00549461
2005-07-15,0.007151423,-0.001811336,-0.003173511
2005-07-18,0.000409183,-0.002745797,-0.002435656
2005-07-19,0.00203047,0.006071534,0.002633856
2005-07-20,-0.006359936,0.002756698,0.001227182
2005-07-21,-0.010651214,0.006707066,0.003868546
2005-07-22,0.01200292,0.004966696,0.005513373
2005-07-25,0.008168376,0.005405025,-0.002751058
2005-07-26,0.00568273,0.002526813,0.001407861
2005-07-27,0.003077206,0.00196796,0.001272893
2005-07-28,0.0042506,0.0073749,0.00227691
2005-07-29,0.007262061,0.002483687,0.001609148
2005-08-01,-0.000276454,0.007663862,0.006936569
2005-08-02,-0.006882477,-0.000854199,0.000900985
2005-08-03,-0.006674683,-0.007969731,-0.00315061
2005-08-04,-0.012885108,-4.93475E-05,-0.000150503
2005-08-05,0.001321545,0.003828481,0.005569458
2005-08-08,0.000819717,-0.002561491,0.003630036
2005-08-09,0.001639814,0.000729237,0.002572851
2005-08-10,-0.004246114,-0.005614561,-0.003514644
2005-08-11,-0.003071899,-0.013444753,-0.002388684
2005-08-12,0.000477028,-0.004525518,-0.0002993
2005-08-15,-0.007437977,0.001333522,-0.004097901
2005-08-16,-0.00761143,-0.003275251,-0.005561505
2005-08-17,-0.008702948,-0.006627974,-0.004421184
2005-08-18,0.00462562,0.008050423,0.00821741
2005-08-19,-0.004055677,-0.006701664,0.001091744
2005-08-22,-0.006366364,-0.010077043,-0.003422082
2005-08-23,0.000114308,-0.004977003,-0.004716803
2005-08-24,0.00413317,-0.011728404,-0.003696542
2005-08-25,0.000147677,-0.008411944,-0.005251441
2005-08-26,-0.006990051,0.000859024,0.005298292
2005-08-30,0.003470722,0.008164863,0.007819932
2005-08-31,0.012989372,0.001212907,0.005965754
2005-09-01,-0.00385769,-0.002063327,-0.000319039
2005-09-02,-0.001187982,0.006818201,0.00206503
2005-09-05,-0.003485615,0.006027395,0.004009142
2005-09-06,0.003956801,-0.00100941,0.001250187
2005-09-07,-0.004707392,0.002626712,-0.004677687
2005-09-08,0.00580094,0.000926553,0.003463901
2005-09-09,-0.003246276,0.005912521,0.002948146
2005-09-12,-0.008360655,-0.012329527,-0.006902197
2005-09-13,-0.001491073,-0.003713182,0.001760959
2005-09-14,0.001267886,0.006585049,0.006750944
2005-09-15,-0.009881936,0.002615637,0.004532367
2005-09-16,-0.00096298,0.009732487,0.00403114
2005-09-19,-0.00735962,0.004446026,-0.002449491
2005-09-20,-0.013633778,-0.008921186,-0.008621963
2005-09-21,0.013640405,-0.007631598,0.002979682
2005-09-22,0.00638246,0.003691169,0.005180385
2005-09-23,0.000896994,-0.001021574,0.007296439
2005-09-26,0.007810412,-0.00300479,-0.001063615
2005-09-27,-0.001446617,0.007616621,0.008719916
2005-09-28,0.000563086,-0.000194962,-0.003021038
2005-09-29,0.006633274,0.005614246,-9.12709E-05
2005-09-30,0.007302022,0.005221277,0.004344889
2005-10-03,-0.007046159,-0.010284574,-0.001290557
2005-10-04,-0.013611743,-0.010802188,-0.012121433
2005-10-05,-0.021054783,-0.020922529,-0.010206714
2005-10-06,-0.00429822,0.003993331,-0.001879979
2005-10-07,0.013129533,-0.00276102,0.002275143
2005-10-10,-0.006066442,0.00454639,0.001153596
2005-10-11,-0.007764242,0.000660446,-0.007155203
2005-10-12,-0.025162522,-0.013802304,-0.014413537
2005-10-13,-0.009761298,-0.00067638,0.001861278
2005-10-14,-0.000963649,0.000981171,0.002180095
2005-10-17,-0.006478829,-0.001379599,-0.00427504
2005-10-18,-0.014398166,-0.024434647,-0.018256426
2005-10-19,-0.017678401,-0.00235326,-0.000715972
2005-10-20,-0.007066295,0.000266409,-0.004260181
2005-10-21,0.021556512,0.009600794,0.012737986
2005-10-24,-0.006571425,-0.001963774,-0.004896689
2005-10-25,-0.003757033,0.004328564,0.008818819
2005-10-26,-0.016241699,-0.007412462,-0.008607827
2005-10-27,0.007981537,0.00743192,0.005904144
2005-10-28,0.025715863,0.020748157,0.019929413
2005-10-31,-2.76461E-06,0.001489026,0.005077765
2005-11-01,-0.007086877,1.89296E-05,0.002675748
2005-11-02,0.025691478,0.017156404,0.013678946
2005-11-03,0.017351134,-0.001629577,-0.00152801
2005-11-04,0.0010498,-0.000395712,0.006858913
2005-11-07,0.001655782,0.00142911,1.83123E-05
2005-11-08,-0.012356203,-0.007924683,-0.003863832
